model	subword_pooling	layer_pooling	dev_acc	dev_f1	test_acc	test_f1
XLM-RoBERTa	first	9	0.99727664060441	0.9655172413793104	0.9939867980830092	0.9205457463884432
XLM-RoBERTa	first	9	0.996925239392076	0.9566755083996464	0.9938059499050548	0.9200482121333868
XLM-RoBERTa	last	0	0.970218747254678	0.6712802768166091	0.9472375440817432	0.4810636583400484
XLM-RoBERTa	last	0	0.9710972502855136	0.6712683347713546	0.9479157247490732	0.4794851166532583
XLM-RoBERTa	last	0	0.9701308969515944	0.6712922810060711	0.94768966452663	0.4853181076672105
XLM-RoBERTa	last	1	0.978740226653782	0.7130434782608696	0.9599421285830544	0.5221789883268484
XLM-RoBERTa	last	1	0.9795308793815338	0.7202797202797203	0.9593995840491908	0.5162046075751661
XLM-RoBERTa	last	1	0.9792673284722831	0.7201394943330427	0.9595352201826568	0.5245268443414446
XLM-RoBERTa	last	10	0.9967495387859088	0.9506172839506172	0.9924043765259064	0.904494382022472
XLM-RoBERTa	last	10	0.9963102872704912	0.943661971830986	0.9924043765259064	0.907051282051282
XLM-RoBERTa	last	10	0.9965738381797418	0.9513704686118478	0.9929921331042588	0.9125352680370816
XLM-RoBERTa	last	11	0.9964859878766582	0.9479258605472196	0.9924043765259064	0.9063128266988342
XLM-RoBERTa	last	11	0.996925239392076	0.9540636042402828	0.9930373451487476	0.9163987138263664
XLM-RoBERTa	last	11	0.9966616884828252	0.9549071618037136	0.9931729812822137	0.9101844426623896
XLM-RoBERTa	last	12	0.996134586664324	0.9408649602824362	0.9927660728818156	0.9084337349397592
XLM-RoBERTa	last	12	0.9956953351489064	0.935569285083848	0.992223528347952	0.8986784140969164
XLM-RoBERTa	last	12	0.9957831854519898	0.9373345101500442	0.9923139524369292	0.9009225832330524
XLM-RoBERTa	last	2	0.9918299218132304	0.8822495606326891	0.9817795460710732	0.7574334898278561
XLM-RoBERTa	last	2	0.9909514187823948	0.8649602824360105	0.9804231847364138	0.7380482022915844
XLM-RoBERTa	last	2	0.9913906702978126	0.8611111111111112	0.98155348584863	0.7536575721629102
XLM-RoBERTa	last	3	0.9944654309057366	0.914687774846086	0.9884709286553938	0.8411509657075285
XLM-RoBERTa	last	3	0.9938504787841518	0.9078138718173836	0.9885161406998824	0.8263943440691282
XLM-RoBERTa	last	3	0.9948168321180708	0.9260563380281688	0.9887874129668144	0.8305283757338553
XLM-RoBERTa	last	4	0.9958710357550734	0.9427312775330396	0.9915001356361336	0.8861366360367559
XLM-RoBERTa	last	4	0.9956074848458228	0.9325153374233128	0.9912740754136902	0.8764402065951529
XLM-RoBERTa	last	4	0.9959588860581567	0.9357959542656114	0.9919070440365312	0.8880923934687375
XLM-RoBERTa	last	5	0.9967495387859088	0.9558303886925796	0.9925852247038612	0.8984812150279776
XLM-RoBERTa	last	5	0.9963981375735746	0.952127659574468	0.9919974681255086	0.8876494023904382
XLM-RoBERTa	last	5	0.9967495387859088	0.9540636042402828	0.9923591644814178	0.8975180144115293
XLM-RoBERTa	last	6	0.9971009399982428	0.9655172413793104	0.9932181933267022	0.9189189189189192
XLM-RoBERTa	last	6	0.9967495387859088	0.9620476610767874	0.9932634053711908	0.9121676067687348
XLM-RoBERTa	last	6	0.9966616884828252	0.9593639575971732	0.9937155258160774	0.914216673378977
XLM-RoBERTa	last	7	0.996925239392076	0.9567519858781994	0.9935798896826116	0.9113517849979944
XLM-RoBERTa	last	7	0.9966616884828252	0.9532215357458076	0.9930373451487476	0.9109149277688604
XLM-RoBERTa	last	7	0.9967495387859088	0.9567519858781994	0.993353829460168	0.9198550140958518
XLM-RoBERTa	last	8	0.9967495387859088	0.9514563106796116	0.9938511619495434	0.9180064308681672
XLM-RoBERTa	last	8	0.996925239392076	0.9480176211453746	0.9934894655936342	0.9142857142857144
XLM-RoBERTa	last	8	0.9968373890889924	0.95837023914969	0.9933086174156796	0.9174385823600484
XLM-RoBERTa	last	9	0.9971887903013266	0.9558303886925796	0.9929469210597704	0.9079211901889828
XLM-RoBERTa	last	9	0.996925239392076	0.95837023914969	0.9930825571932362	0.9120835006021676
XLM-RoBERTa	last	9	0.9963981375735746	0.9497797356828194	0.9926756487928384	0.9047237790232184
XLM-MLM-100	first	0	0.9832205921110428	0.7495908346972175	0.9665430870783976	0.5742160278745645
XLM-MLM-100	first	0	0.9833084424141264	0.7426229508196721	0.9661813907224884	0.5838902567710166
XLM-MLM-100	first	0	0.9834841430202934	0.7466887417218542	0.9650963016547608	0.5825105782792666
XLM-MLM-100	first	1	0.9862075024158832	0.7735537190082644	0.9724658649064112	0.6333452338450554
XLM-MLM-100	first	1	0.9855046999912148	0.7774086378737541	0.9706121710823764	0.624688722874422
XLM-MLM-100	first	1	0.9862075024158832	0.7810945273631841	0.9719685324170358	0.620199146514936
XLM-MLM-100	first	10	0.9964859878766582	0.9628975265017669	0.9942580703499412	0.9271043093032622
XLM-MLM-100	first	10	0.9965738381797418	0.9646017699115044	0.9943484944389184	0.9240658899156288
XLM-MLM-100	first	10	0.9963981375735746	0.9619805481874448	0.9943484944389184	0.9228295819935692
XLM-MLM-100	first	11	0.9968373890889924	0.9646643109540636	0.9943937064834072	0.926476496584974
XLM-MLM-100	first	11	0.9966616884828252	0.9646017699115044	0.9938511619495434	0.9181380417335474
XLM-MLM-100	first	11	0.9963102872704912	0.9619805481874448	0.9939867980830092	0.9236334405144696
XLM-MLM-100	first	12	0.9963981375735746	0.9628318584070796	0.9944841305723844	0.9341414141414142
XLM-MLM-100	first	12	0.9968373890889924	0.9646017699115044	0.9936703137715888	0.921285140562249
XLM-MLM-100	first	12	0.9964859878766582	0.9592920353982302	0.99430328239443	0.9334409035901572
XLM-MLM-100	first	13	0.9964859878766582	0.9671694764862468	0.9930373451487476	0.9156626506024096
XLM-MLM-100	first	13	0.9963981375735746	0.9575221238938052	0.99430328239443	0.928657799274486
XLM-MLM-100	first	13	0.9964859878766582	0.9540636042402828	0.993896373994032	0.9251810136765888
XLM-MLM-100	first	14	0.9962224369674076	0.9628318584070796	0.9924948006148838	0.9043617446978792
XLM-MLM-100	first	14	0.996134586664324	0.9549867608120036	0.9919974681255086	0.8979266347687399
XLM-MLM-100	first	14	0.9963102872704912	0.9574468085106383	0.9932181933267022	0.9175340272217772
XLM-MLM-100	first	15	0.9960467363612404	0.9494232475598936	0.9931729812822137	0.9169008430349256
XLM-MLM-100	first	15	0.996134586664324	0.9434628975265018	0.9934442535491456	0.90843662534986
XLM-MLM-100	first	15	0.9960467363612404	0.95829636202307	0.9927208608373272	0.9077786688051324
XLM-MLM-100	first	16	0.9959588860581567	0.9513704686118478	0.9924495885703952	0.9090909090909092
XLM-MLM-100	first	16	0.9959588860581567	0.9454225352112676	0.9923139524369292	0.9090909090909092
XLM-MLM-100	first	16	0.9957831854519898	0.949512843224092	0.9917714079030654	0.8904761904761905
XLM-MLM-100	first	2	0.9917420715101468	0.8736027515047291	0.9834523917171536	0.7776510832383124
XLM-MLM-100	first	2	0.9917420715101468	0.8613013698630136	0.9829098471832896	0.768939393939394
XLM-MLM-100	first	2	0.992269173328648	0.8829141370338248	0.9831359074057328	0.7629489603024574
XLM-MLM-100	first	3	0.9935869278749012	0.9009640666082384	0.9861651143864726	0.8250388802488334
XLM-MLM-100	first	3	0.9947289818149871	0.9191564147627416	0.9885161406998824	0.8367029548989113
XLM-MLM-100	first	3	0.9948168321180708	0.9280701754385966	0.9887422009223256	0.83793237465993
XLM-MLM-100	first	4	0.995343933936572	0.9383802816901408	0.9896916538565874	0.843420538852011
XLM-MLM-100	first	4	0.9956953351489064	0.9472759226713532	0.9905958947463605	0.8650355169692187
XLM-MLM-100	first	4	0.9956074848458228	0.9411764705882352	0.9905054706573831	0.8600628930817611
XLM-MLM-100	first	5	0.9951682333304048	0.9464442493415276	0.9906411067908492	0.8754448398576512
XLM-MLM-100	first	5	0.9948168321180708	0.9281961471103326	0.9903246224794284	0.8553508428067426
XLM-MLM-100	first	5	0.9948168321180708	0.9232111692844678	0.9906411067908492	0.8592708741669934
XLM-MLM-100	first	6	0.9947289818149871	0.9360210341805432	0.9907767429243152	0.875
XLM-MLM-100	first	6	0.9952560836334884	0.9403508771929824	0.9903698345239172	0.863546991742037
XLM-MLM-100	first	6	0.995343933936572	0.93717277486911	0.990912379057781	0.8706252457727095
XLM-MLM-100	first	7	0.9952560836334884	0.9445910290237468	0.9917261958585768	0.8825622775800711
XLM-MLM-100	first	7	0.995343933936572	0.9423076923076924	0.991680983814088	0.8748031496062992
XLM-MLM-100	first	7	0.995343933936572	0.9403508771929824	0.9922687403924404	0.8830963665086888
XLM-MLM-100	first	8	0.9963102872704912	0.95837023914969	0.9932181933267022	0.9055244195356285
XLM-MLM-100	first	8	0.9963981375735746	0.960212201591512	0.9938511619495434	0.9191797346200242
XLM-MLM-100	first	8	0.9959588860581567	0.9437609841827768	0.9933086174156796	0.9033293221018852
XLM-MLM-100	first	9	0.9960467363612404	0.9593639575971732	0.9938059499050548	0.9112
XLM-MLM-100	first	9	0.9964859878766582	0.9592198581560284	0.9939415860385208	0.9178356713426854
XLM-MLM-100	first	9	0.9965738381797418	0.9628318584070796	0.994032010127498	0.9138966760112134
XLM-MLM-100	last	0	0.9725028551348502	0.6842105263157895	0.9496789944841306	0.5001920860545525
XLM-MLM-100	last	0	0.971360801194764	0.6723695466210436	0.949633782439642	0.499808355691836
XLM-MLM-100	last	0	0.9719757533163488	0.6683716965046888	0.9485486933719144	0.4876923076923078
XLM-MLM-100	last	1	0.9833084424141264	0.7566182749786508	0.9656840582331132	0.5986342943854324
XLM-MLM-100	last	1	0.9835719933233772	0.7635425623387792	0.966362238900443	0.6113033448673586
XLM-MLM-100	last	1	0.9841869454449618	0.7823834196891192	0.9661813907224884	0.6052531404644079
XLM-MLM-100	last	10	0.994992532724238	0.9255319148936172	0.9924495885703952	0.8936341659951651
XLM-MLM-100	last	10	0.9942897302995696	0.9217081850533808	0.9921331042589746	0.8981744421906694
XLM-MLM-100	last	10	0.995343933936572	0.9333333333333332	0.9927660728818156	0.8914979757085021
XLM-MLM-100	last	11	0.9948168321180708	0.9309734513274336	0.9924043765259064	0.9000404694455686
XLM-MLM-100	last	11	0.994992532724238	0.9290780141843972	0.9927208608373272	0.9040097205346296
XLM-MLM-100	last	11	0.9950803830273216	0.9316770186335402	0.992223528347952	0.8917713822456426
XLM-MLM-100	last	12	0.99455328120882	0.9288256227758006	0.9922687403924404	0.898256992298338
XLM-MLM-100	last	12	0.9950803830273216	0.9308510638297872	0.9932181933267022	0.9023104985812728
XLM-MLM-100	last	12	0.9948168321180708	0.9308510638297872	0.992856496970793	0.9017857142857144
XLM-MLM-100	last	13	0.9941140296934023	0.9210292812777284	0.9929469210597704	0.9067315490673156
XLM-MLM-100	last	13	0.9946411315119036	0.9266136162687888	0.9925400126593724	0.904032258064516
XLM-MLM-100	last	13	0.99455328120882	0.9255319148936172	0.9919974681255086	0.9013742926434924
XLM-MLM-100	last	14	0.99455328120882	0.9255319148936172	0.9920426801699972	0.8990676935549249
XLM-MLM-100	last	14	0.9947289818149871	0.9219858156028368	0.9922687403924404	0.8986677432377875
XLM-MLM-100	last	14	0.9949046824211544	0.9309734513274336	0.9924948006148838	0.8969696969696971
XLM-MLM-100	last	15	0.9939383290872352	0.9145374449339206	0.9913644995026676	0.8921212121212122
XLM-MLM-100	last	15	0.9941140296934023	0.9135802469135804	0.9915905597251108	0.8925820835022295
XLM-MLM-100	last	15	0.9939383290872352	0.9050966608084358	0.991680983814088	0.8914008881711748
XLM-MLM-100	last	16	0.99455328120882	0.9203539823008848	0.9911836513247128	0.8872785829307568
XLM-MLM-100	last	16	0.9940261793903188	0.9116607773851588	0.991545347680622	0.889516129032258
XLM-MLM-100	last	16	0.9942897302995696	0.9158547387068202	0.9913192874581788	0.8835147118097542
XLM-MLM-100	last	2	0.9919177721163138	0.8851884312007012	0.9815986978931188	0.7690476190476191
XLM-MLM-100	last	2	0.992269173328648	0.8930150309460655	0.9825481508273805	0.7882399682161303
XLM-MLM-100	last	2	0.992269173328648	0.8959435626102293	0.9830906953612444	0.7835377918480412
XLM-MLM-100	last	3	0.9943775806026532	0.9206349206349206	0.9881092322994846	0.8414779499404053
XLM-MLM-100	last	3	0.9946411315119036	0.9283819628647214	0.988832625011303	0.8464598249801114
XLM-MLM-100	last	3	0.99455328120882	0.9223985890652556	0.9889230491002804	0.8537455410225921
XLM-MLM-100	last	4	0.9938504787841518	0.9105403011514616	0.9895108056786328	0.8546325878594251
XLM-MLM-100	last	4	0.99455328120882	0.9196822594880848	0.989736865901076	0.8575974542561655
XLM-MLM-100	last	4	0.9943775806026532	0.9232127096204766	0.9891038972782348	0.8541749900119856
XLM-MLM-100	last	5	0.9937626284810682	0.9108561341571052	0.9899177140790306	0.8566866267465071
XLM-MLM-100	last	5	0.9939383290872352	0.9118165784832452	0.990143774301474	0.8639808536098923
XLM-MLM-100	last	5	0.9938504787841518	0.9177718832891248	0.990008138168008	0.8615875548464301
XLM-MLM-100	last	6	0.9934990775718175	0.9066901408450704	0.989736865901076	0.8661858974358975
XLM-MLM-100	last	6	0.9938504787841518	0.9142351900972592	0.9897820779455648	0.8600953895071543
XLM-MLM-100	last	6	0.9931476763594834	0.9000884173297966	0.9886065647888598	0.8572574178027266
XLM-MLM-100	last	7	0.99455328120882	0.9204946996466432	0.9907315308798263	0.8748997594226142
XLM-MLM-100	last	7	0.9937626284810682	0.9116607773851588	0.9905054706573831	0.8688000000000001
XLM-MLM-100	last	7	0.9941140296934023	0.909251101321586	0.9904602586128944	0.8696349779382271
XLM-MLM-100	last	8	0.9951682333304048	0.9333333333333332	0.9915001356361336	0.8866478418717225
XLM-MLM-100	last	8	0.9946411315119036	0.9256637168141594	0.9915905597251108	0.8861167002012074
XLM-MLM-100	last	8	0.9949046824211544	0.9307282415630552	0.9915001356361336	0.8879032258064516
XLM-MLM-100	last	9	0.9948168321180708	0.9219858156028368	0.9923591644814178	0.8951612903225806
XLM-MLM-100	last	9	0.9949046824211544	0.9263531499556344	0.99195225608102	0.8922083165119095
XLM-MLM-100	last	9	0.9948168321180708	0.9238938053097344	0.992223528347952	0.8993939393939394
distil-mBERT	first	0	0.9840112448387948	0.7463414634146341	0.9647346052988516	0.5430827325780982
distil-mBERT	first	0	0.9830448915048756	0.7313915857605179	0.9653675739216928	0.5427688079697698
distil-mBERT	first	0	0.98339629271721	0.7231638418079096	0.9647346052988516	0.5405405405405405
distil-mBERT	first	1	0.9894579636299744	0.8212478920741991	0.9771227054887422	0.6943312337902927
distil-mBERT	first	1	0.9907757181762276	0.8435374149659864	0.9789311872682884	0.7095096582466568
distil-mBERT	first	1	0.9890187121145568	0.8181818181818181	0.9769870693552762	0.6756954612005857
distil-mBERT	first	2	0.9946411315119036	0.9238845144356956	0.9872049914097116	0.8261039468542398
distil-mBERT	first	2	0.9940261793903188	0.9109947643979056	0.9878831720770412	0.833398361295357
distil-mBERT	first	2	0.9942897302995696	0.912891986062718	0.9871145673207342	0.8252238224990269
distil-mBERT	first	3	0.9936747781779848	0.901213171577123	0.9884709286553938	0.8490342924714229
distil-mBERT	first	3	0.99455328120882	0.9224062772449868	0.989736865901076	0.8575912122400942
distil-mBERT	first	3	0.99455328120882	0.9189189189189187	0.988968261144769	0.8418167580266249
distil-mBERT	first	4	0.9955196345427392	0.9334500875656744	0.9904150465684058	0.8674033149171271
distil-mBERT	first	4	0.9959588860581567	0.9376646180860404	0.9902794104349398	0.8730723606168446
distil-mBERT	first	4	0.994992532724238	0.9238845144356956	0.989872502034542	0.8588328075709779
distil-mBERT	first	5	0.9951682333304048	0.9359086918349429	0.990008138168008	0.8662974683544304
distil-mBERT	first	5	0.9952560836334884	0.9367311072056238	0.9897820779455648	0.8717131474103585
distil-mBERT	first	5	0.9951682333304048	0.9340369393139842	0.9893751695451668	0.8630245447347584
distil-mBERT	first	6	0.9940261793903188	0.9143356643356644	0.9884257166109052	0.8537735849056605
distil-mBERT	first	6	0.9933233769656504	0.9009640666082384	0.9878379600325526	0.85062893081761
distil-mBERT	first	6	0.9941140296934023	0.9175438596491228	0.9882448684329506	0.8501577287066246
distil-mBERT	last	0	0.9741720108934376	0.704626334519573	0.9493172981282214	0.5222266720064077
distil-mBERT	last	0	0.9746991127119388	0.7133872416891285	0.9483226331494712	0.5247766043866776
distil-mBERT	last	0	0.9747869630150224	0.7109929078014184	0.9487295415498688	0.52
distil-mBERT	last	1	0.9891065624176404	0.8443271767810028	0.9755402839316394	0.68515625
distil-mBERT	last	1	0.9891065624176404	0.8492907801418441	0.9734153178406728	0.6726632772780602
distil-mBERT	last	1	0.9884916102960556	0.8368794326241135	0.974816891219821	0.6894385551629367
distil-mBERT	last	2	0.9950803830273216	0.931095406360424	0.9877023238990869	0.8248319493871095
distil-mBERT	last	2	0.9944654309057366	0.9168141592920352	0.9865268107423818	0.8047244094488192
distil-mBERT	last	2	0.9949046824211544	0.930150309460654	0.9881092322994846	0.8363780778395551
distil-mBERT	last	3	0.995343933936572	0.9312169312169312	0.9879735961660188	0.8351822503961965
distil-mBERT	last	3	0.9948168321180708	0.9194395796847636	0.9890134731892576	0.8496420047732698
distil-mBERT	last	3	0.994992532724238	0.9237510955302368	0.9902794104349398	0.8611111111111109
distil-mBERT	last	4	0.9960467363612404	0.945326278659612	0.9913192874581788	0.8820717131474104
distil-mBERT	last	4	0.9956953351489064	0.9409691629955946	0.9895108056786328	0.8589590782677791
distil-mBERT	last	4	0.9955196345427392	0.9434628975265018	0.9896464418120988	0.8654690618762475
distil-mBERT	last	5	0.9952560836334884	0.9427312775330396	0.9902341983904512	0.8702531645569621
distil-mBERT	last	5	0.9959588860581567	0.9442970822281168	0.9907767429243152	0.8746518105849582
distil-mBERT	last	5	0.9954317842396556	0.941696113074205	0.9896916538565874	0.8661916072842439
distil-mBERT	last	6	0.9951682333304048	0.9260563380281688	0.9883805045664164	0.8575974542561655
distil-mBERT	last	6	0.9949046824211544	0.9202453987730062	0.988335292521928	0.8469468675654243
distil-mBERT	last	6	0.9949046824211544	0.922671353251318	0.988335292521928	0.8451816745655608
